Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,FRS1,462.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
2,FRS2,462.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
3,FRS3,462.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
4,FRS4,462.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
5,FRS5,462.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
6,FRS6,462.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
7,FRS7,462.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
8,FRS8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
9,FRS9,467.587500,,5.000000,Tone,97.4,88.5,023,NN,NFM,12.50,,,,,,
10,FRS10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
11,FRS11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
12,FRS12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
13,FRS13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
14,FRS14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
15,GMRS1,462.550000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
16,GMRS2,462.575000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
17,GMRS3,462.600000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
18,Black Dot/GMRS4,462.625000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
19,GMRS5,462.650000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
20,Orange Dot/GMRS6,462.675000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
21,GMRS7,462.700000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
22,GMRS8,462.725000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
101,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
102,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
103,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
104,Blue Dot,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
105,Green Dot,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
111,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
112,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
113,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
114,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
115,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
116,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
117,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
118,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
119,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
120,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
